influencer_name,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
Anakjajan,-0.5598661,-0.31915364,0.50129443,0.21673486,-0.1801574,-0.0067107654,0.14704071,-0.40195578,0.48051187,0.67500335,0.58708376,0.6053517,0.15649469,-0.35209244,1.0829065,0.022429397
Kuliner Koko,-0.54473364,-0.31188366,0.49185356,0.21605916,-0.18112688,-0.010981038,0.14084023,-0.39397463,0.46410993,0.6469691,0.5739724,0.59218,0.1670352,-0.33815366,1.0555278,0.024477012
Susan Theresia,-0.55811584,-0.3175167,0.49891746,0.21678452,-0.1787104,-0.0068841698,0.14675747,-0.4003575,0.47901288,0.672314,0.584023,0.6026011,0.1547035,-0.35047972,1.0801575,0.022755854
Agakenyang,-0.5501685,-0.30935585,0.48080653,0.20658757,-0.1552046,-1.2356221e-05,0.14789641,-0.38424626,0.4842867,0.6942739,0.562727,0.5884862,0.105088785,-0.35507652,1.0757613,0.027576433
Ayoe Widya,-0.55159175,-0.30875215,0.48102716,0.20696694,-0.15553938,-0.0013006032,0.14749849,-0.3849765,0.48419026,0.6913617,0.56411934,0.58878005,0.10746286,-0.35477555,1.0759554,0.0251524
Syifa Hadju,-0.67694885,-0.15874182,-0.12747452,-0.028893469,0.06574318,-0.3093048,-0.32128727,-0.039582755,0.16969433,0.082635954,0.23211654,0.4655429,-0.61871994,-0.55883765,0.7686968,-0.44629163
Greysia Polii,-0.30698368,-0.14130944,0.0019481218,0.019444298,-0.030336501,-0.22709957,-0.11793907,-0.07433452,0.19107553,0.011702507,-0.04454827,0.24265622,-0.340689,-0.2556645,0.4486957,0.06243356
Apriyani Rahayu,-0.3352965,-0.2128377,0.30284387,0.11432073,-0.12649728,-0.067237265,0.07099937,-0.22772484,0.2712522,0.36947063,0.3833562,0.38165143,0.13008158,-0.18193465,0.6679335,-0.02642314
Liliyana Natsir,-0.30434293,-0.13433878,0.0038840093,0.0171362,-0.027974261,-0.20547873,-0.08728721,-0.08383383,0.20140813,0.005845401,-0.048509013,0.22313942,-0.3289256,-0.24914338,0.4290214,0.063710526
Rio Haryanto,-0.36614433,-0.20554644,0.33136934,0.15758921,-0.123026766,-0.03335304,0.072943226,-0.2619545,0.31233236,0.41375998,0.39373195,0.41621482,0.14213751,-0.21024983,0.72404397,0.021737391
