influencer,influencer_top1_positive,influencer_top1_neutral,influencer_top1_negative,influencer_top1_name,influencer_top2_positive,influencer_top2_neutral,influencer_top2_negative,influencer_top2_name,influencer_top3_positive,influencer_top3_neutral,influencer_top3_negative,influencer_top3_name
Bryan Domani,0.9086225293576717,0.7369521750557807,0.8676889836788177,"yg, ga, aja",0.9262837597302028,0.3317724068959554,0.70907062292099,"the, and, to",0.9951450675725937,0.7422600388526917,0.94242924451828,"chef, zahra, gozali"
Yasa Singgih,0.8754462088857379,0.9358194363422883,0.9865399996439616,"chef, zahra, gozali",0.9913757046063741,0.9184373418490092,0.9943458437919617,"yg, ga, aja",0.9034166932106018,0.9486423645700727,0.9028761982917786,"dennysantoso, indonesia, tarikuang"
Andhika Diskartes,0.873514347606235,0.8121516395498205,0.7734917141497135,"the, and, to",0.6530697345733643,0.7417944404813979,0.7808176279067993,"diskon, brand, promo",0.6496897339820862,0.9973046779632568,0.9695217490196228,"yg, ga, aja"
Raden Rauf,0.9977884292602539,0.79843071573659,0.952658161520958,"rauf, raden, radenrauf",0.9980749686559042,0.2956519935812269,0.8951560313051398,"yg, ga, aja",0.7170450687408447,0.5852001408735911,0.0,"jodoh, hestek, pakein"
Sandy Firmansyah,0.9673550724983215,0.9325080960988998,0.0,"diskon, brand, promo",0.0,0.9353075325489044,0.9950588941574097,"yg, ga, aja",0.8449929356575012,0.0,0.0,"the, and, to"
Jouska,0.7827242272240775,0.9014571767586929,0.0,"de, la, su",0.8049732625484467,0.16304699813618379,0.8427297671635946,"the, and, to",0.9506128430366516,0.8423297537697686,0.7430292069911957,"h7qvqkhavsqrqqjhzofei6hztazhmbbtrdlppwadngl, sol, bfrk23t4zbm963xpl7uvtyerywvwz1nav6mntkwkvbzq"
Fellexandro Ruby,0.8693954348564148,0.7030861702832308,0.8360468149185181,"the, and, to",0.8968185186386108,0.8836728767915205,0.8779986798763275,"diskon, brand, promo",0.9282916709780693,0.38539714813232423,0.9208999474843343,"yg, ga, aja"
Denny Santoso,0.9353490471839905,0.06411929476645685,0.9456265994480678,"dennysantoso, indonesia, tarikuang",0.8373123438734758,0.6028684824705124,0.7169847538073858,"the, and, to",0.8233105838298798,0.3937186598777771,0.0,"diskon, brand, promo"
Vincent Raditya,0.9864543477694193,0.0,0.8101024627685547,"the, and, to",0.5051900148391724,0.8993903696537018,0.9990648627281189,"yg, ga, aja",0.0,0.9976846575737,0.0,"diskon, brand, promo"
Christian Sugiono,0.8698423640294508,0.8633683891523452,0.8818253370431753,"yg, ga, aja",0.9671241442362467,0.9800282776355743,0.9868349432945251,"diskon, brand, promo",0.9089240257938703,0.8405532638231913,0.9345585703849792,"the, and, to"
Hanifa Ambadar,0.0,0.9963787396748861,0.0,"diskon, brand, promo",0.9973824620246887,0.0,0.0,"the, and, to",0.0,0.9857119917869568,0.0,"isyana, sarasvati, seno"
Rendy Saputra,0.784998032450676,0.5889399988310677,0.8607961535453796,"diskon, brand, promo",0.5787015557289124,0.6120572487513224,0.9446283876895905,"tingting, ayu, iki",0.9985659718513489,0.0,0.8103898167610168,"dennysantoso, indonesia, tarikuang"
Agung Hapsah,0.9540539292188791,0.78447339790208,0.9714684656688145,"yg, ga, aja",0.9604188948869705,0.9686688135067621,0.6649594724178314,"the, and, to",0.506504237651825,0.5476897992193699,0.0,"diskon, brand, promo"
Irfan Amalee,0.8727841907077365,0.9715460410484901,0.8515745848417282,"chef, zahra, gozali",0.8359506875276566,0.8480026192135282,0.9890368580818176,"the, and, to",0.9164240956306458,0.9883955468734106,0.0,"diskon, brand, promo"
Sibungbung,0.8777222356625966,0.9027785783590272,0.9397446192227877,"sibungbung, miawaug, jess",0.9399627276829311,0.0,0.9940805315971375,"yg, ga, aja",0.0,0.9395983219146729,0.9873058795928955,"the, and, to"
Nana Koot,0.8368456271978525,0.8350203682978948,0.8355720520019532,"the, and, to",0.8272867918014526,0.835083360855396,0.8146063983440399,"de, la, su",0.8811789453029633,0.7012072205543518,0.7896191775798798,"sibungbung, miawaug, jess"
Vindy Lee,0.9514978528022766,0.7579730600118637,0.9378836341202259,"yg, ga, aja",0.9176529467105865,0.6751573344071706,0.8419954578081766,"the, and, to",0.0,0.8067926526069641,0.0,"diskon, brand, promo"
