influencer,influencer_top1_positive,influencer_top1_neutral,influencer_top1_negative,influencer_top1_name,influencer_top2_positive,influencer_top2_neutral,influencer_top2_negative,influencer_top2_name,influencer_top3_positive,influencer_top3_neutral,influencer_top3_negative,influencer_top3_name
Anindya Kusuma,0.8975887071518671,0.9387422389454312,0.9643301305017973,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Anthony Ginting,0.9272636230786642,0.9416126726378857,0.8467729843181112,"brand, indonesia, yg",0.9272636230786642,0.9416126726378857,0.8467729843181112,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Aprilia Manganang,0.8757382869720459,0.9719081982970238,0.9372406005859375,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Apriyani Rahayu,0.9085806530934794,0.93709092474345,0.8911716872826219,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Ariel Noah,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"goooo, umurnya, bar",0.0,0.0,0.0,"fahardhi, rian, tiktok"
Atta Halilintar,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"goooo, umurnya, bar",0.0,0.0,0.0,"fahardhi, rian, tiktok"
Ayla Dimitri,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Ayoe Widya,0.9163363184779882,0.9661144191218961,0.8691050037741661,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Ayu Tingting,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
BTR Luxxy,0.9160755383116859,0.9202399257715647,0.9677351530717344,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
BTR Zuxxy,0.8611889356567014,0.9633160491579587,0.8107728852945215,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.8611889356567014,0.9633160491579587,0.8107728852945215,"gak, nadanya, ngejudge"
Backpacker Tampan,0.9016905511203019,0.9434572986581109,0.8998344020965772,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Bara Pattiradjawane,0.906094516068697,0.9386208890432335,0.8961531432235942,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Brian Febrian,0.9105163163998548,0.9410857861502129,0.9129629838466644,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Bryan Domani,0.9108672875624436,0.9689170525459472,0.9919286767641703,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Buya Yahya,0.9352359351564626,0.9594843852810744,0.9015483487220037,"brand, indonesia, yg",0.0,0.0,0.0,"gak, nadanya, ngejudge",0.0,0.0,0.0,"fahardhi, rian, tiktok"
Chandra Yudasswara,0.9373279958963394,0.9357499796517041,0.8735087960958481,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
